Word,Score1,Score2,Final_Score
#climatechange,0.093355563,9335.5563,9336
#imwithher,0.042706081,4270.6081,4271
twitter,0.023930106,2393.0106,2394
#clintonfound,0.022542075,2254.2075,2255
#studentdebt,0.022370254,2237.0254,2238
million,0.020449756,2044.9756,2045
#jillstein,0.019633066,1963.3066,1964
oil,0.019554308,1955.4308,1956
#hillaryclinton,0.01899536,1899.536,1900
#donaldtrump,0.013023416,1302.3416,1303
#ajamubaraka,0.010873616,1087.3616,1088
pay,0.010470647,1047.0647,1048
#gop,0.009823799,982.3799,983
dailycal,0.009240379,924.0379,925
energy,0.009019015,901.9015,902
muslim,0.008142772,814.2772,815
tax,0.00794866,794.866,795
drjillstein,0.007661014,766.1014,767
#job,0.007102853,710.2853,711
hillaryclinton,0.007071416,707.1416,708
paid,0.007002281,700.2281,701
#china,0.00662496,662.496,663
#nevertrump,0.006397645,639.7645,640
philsilverman,0.006170584,617.0584,618
youtube,0.005625649,562.5649,563
#voteblue,0.005603308,560.3308,561
cann,0.005278695,527.8695,528
#algor,0.005104842,510.4842,511
product,0.004517517,451.7517,452
potus,0.004421273,442.1273,443
#cnn,0.00425323,425.323,426
nto,0.004234129,423.4129,424
chang,0.004041963,404.1963,405
bhoi,0.004041185,404.1185,405
#hrc,0.003698399,369.8399,370
#greenparties,0.003446425,344.6425,345
gore,0.003311605,331.1605,332
panel,0.003258655,325.8655,326
#p2,0.003207649,320.7649,321
#trumpenmexico,0.003130627,313.0627,314
#democrat,0.003125566,312.5566,313
#solar,0.003079981,307.9981,308
#rebeccalaroch,0.003036685,303.6685,304
president,0.003025186,302.5186,303
conservtvforum,0.002999378,299.9378,300
fox,0.002938625,293.8625,294
greenpeace,0.002892622,289.2622,290
warning,0.002878467,287.8467,288
#renewableenergy,0.002773065,277.3065,278
free,0.002660762,266.0762,267
#amalclooney,0.002625672,262.5672,263
usa,0.002624363,262.4363,263
smarter,0.002618953,261.8953,262
planet,0.002614135,261.4135,262
list,0.002598758,259.8758,260
social,0.002591439,259.1439,260
garbage,0.002579931,257.9931,258
earthquake,0.002473918,247.3918,248
radiocanadainfo,0.00245363,245.363,246
people,0.002453212,245.3212,246
#new,0.002446884,244.6884,245
#newyorktime,0.002430176,243.0176,244
obvious,0.002419285,241.9285,242
extinct,0.002418886,241.8886,242
#obamacare,0.002409066,240.9066,241
#miamibeach,0.002362975,236.2975,237
believe,0.002324017,232.4017,233
#motherearth,0.002296985,229.6985,230
#georgeclooney,0.002287125,228.7125,229
unhumanright,0.00226056,226.056,227
settle,0.002258533,225.8533,226
term,0.002241106,224.1106,225
pact,0.002231331,223.1331,224
folk,0.002219149,221.9149,222
thx,0.002200546,220.0546,221
stein,0.00218385,218.385,219
remember,0.002172026,217.2026,218
world-asia-china,0.002143911,214.3911,215
tackle,0.002135047,213.5047,214
fool,0.002133214,213.3214,214
formal,0.002095261,209.5261,210
#golddigger,0.00205396,205.396,206
ieuc,0.002016919,201.6919,202
#iowa,0.002016882,201.6882,202
consumer,0.002007101,200.7101,201
oklahoma,0.001995829,199.5829,200
billingsgazett,0.001974902,197.4902,198
discount,0.001937355,193.7355,194
#ohio,0.001896315,189.6315,190
news,0.001862493,186.2493,187
word,0.001833427,183.3427,184
#wisdom,0.00183305,183.305,184
#Yellowstone,0.001830379,183.0379,184
support,0.001829916,182.9916,183
#phonebank,0.001829521,182.9521,183
darkpolitrick,0.001797877,179.7877,180
choice,0.001785688,178.5688,179
knew,0.001747404,174.7404,175
#ifmenhadperiod,0.001746735,174.6735,175
#cleanair,0.001745433,174.5433,175
park,0.001680387,168.0387,169
fuck,0.00167792,167.792,168
#petergleick,0.001666806,166.6806,167
ppl,0.001646974,164.6974,165
disagree,0.001646217,164.6217,165
agreement,0.00164584,164.584,165
today,0.001640535,164.0535,165
#trump,0.001639794,163.9794,164
enough,0.001610544,161.0544,162
power,0.001585848,158.5848,159
#gogreen,0.001576052,157.6052,158
post,0.001560808,156.0808,157
melt,0.001559344,155.9344,156
#goppic,0.001553664,155.3664,156
#join,0.001541634,154.1634,155
huge,0.001534847,153.4847,154
corrupt,0.001524379,152.4379,153
#nohil,0.001516913,151.6913,152
voter,0.001513491,151.3491,152
#laborday,0.001503208,150.3208,151
lbmrba,0.001491847,149.1847,150
#itsinourhand,0.001485526,148.5526,149
ced,0.001464949,146.4949,147
#hillary,0.001452061,145.2061,146
real,0.001428495,142.8495,143
solar,0.001412061,141.2061,142
big,0.001410417,141.0417,142
video,0.001378076,137.8076,138
know,0.001377949,137.7949,138
bring,0.001369301,136.9301,137
#stienbarak,0.001367724,136.7724,137
proud,0.001367708,136.7708,137
one,0.001343232,134.3232,135
#globalist,0.001285137,128.5137,129
