Word,Score1,Score2,Final_Score
#hillaryclinton,0.130848963,13084.89633,13085
twitter,0.046626476,4662.647639,4663
#climatechang,0.04136515,4136.515026,4137
#usa,0.027338224,2733.822432,2734
http,0.024939078,2493.907817,2494
#clintonfound,0.020820594,2082.059431,2083
statu,0.020815638,2081.56381,2082
#laborday,0.017719541,1771.954118,1772
#studentdebt,0.016753039,1675.303903,1676
million,0.016315867,1631.586652,1632
kill,0.016222342,1622.234204,1623
produc,0.016020878,1602.087805,1603
energi,0.015697104,1569.710375,1570
#imwithh,0.014310412,1431.041216,1432
#potu,0.013149069,1314.906913,1315
paid,0.011939187,1193.918723,1194
exclusive-persian-gulf-sheikhs-gave-bill-hillari,0.011807886,1180.788564,1181
#donaldtrump,0.011633404,1163.340397,1164
oil,0.011136486,1113.648611,1114
muslim,0.009750824,975.082374,976
youtu,0.008200156,820.0156463,821
hillaryclinton,0.008085294,808.529384,809
#ajamubaraka,0.007558206,755.8206201,756
#nevertrump,0.007291468,729.1468297,730
pay,0.006613456,661.3455871,662
#china,0.006396563,639.6562646,640
www,0.006095464,609.5463523,610
nshe',0.006015605,601.5605009,602
drjillstein,0.005722618,572.2618465,573
#jillstein,0.005640915,564.0915206,565
#gop,0.005631401,563.1400532,564
pic,0.005513566,551.3565727,552
#dem,0.004890764,489.0763827,490
#hrc,0.004557764,455.7763901,456
supportr,0.00448129,448.1290467,449
peopl,0.004446831,444.6830992,445
tax,0.00422947,422.946975,423
#u,0.004147453,414.7452932,415
bit,0.004132573,413.2572874,414
chang,0.003905929,390.592928,391
#cnn,0.003883413,388.3413328,389
ban,0.003773945,377.3945388,378
articl,0.003729739,372.973947,373
#job,0.00348068,348.067977,349
stein,0.003471257,347.1256527,348
free,0.003440722,344.0722081,345
#fracknohttp,0.003375472,337.5471927,338
henc,0.0032864,328.640045,329
nhttp,0.003253435,325.343464,326
got,0.003214845,321.4844608,322
potu,0.003208281,320.8280752,321
smarter,0.003102471,310.2471145,311
#phonebank,0.003082014,308.2014337,309
bhoi,0.003043859,304.3858876,305
#voteblu,0.003040294,304.0294388,305
ttm,0.002985318,298.531804,299
#democrat,0.002928207,292.8206661,293
stuff,0.002781908,278.1908138,279
populist,0.002773104,277.3104444,278
american,0.002698198,269.8198012,270
#hackinghillaryhttp,0.002673216,267.3216481,268
pact,0.002661826,266.1825923,267
presid,0.002616743,261.6743163,262
que,0.002611592,261.1592392,262
messag,0.002596498,259.6497576,260
nb'new,0.002574097,257.4097227,258
hoax,0.002562595,256.2594894,257
meetthepress,0.002555398,255.5397925,256
huge,0.002530384,253.038362,254
these-are-the-facts-on-fossil-fuel-money-going-to-the-clinton-and-sanders-campaign,0.002515642,251.5642259,252
yet,0.002506555,250.6555291,251
bear,0.002468481,246.8480629,247
sale,0.002462573,246.2572547,247
big,0.002455907,245.5906756,246
melt,0.002438614,243.8613984,244
#goppic,0.002420917,242.0916708,243
non,0.002354645,235.4645214,236
regul,0.002338039,233.8039047,234
plut,0.00232957,232.9569725,233
list,0.002325235,232.5235142,233
extinct,0.002323826,232.3826352,233
conservtvforum,0.002292172,229.2172244,230
#pollut,0.002290209,229.0208521,230
fruitetrang,0.002277929,227.7929032,228
#energi,0.00225327,225.3269894,226
kvudnldua,0.002248762,224.8761511,225
darkpolitrick,0.002239693,223.9693001,224
bbc,0.002235503,223.5503188,224
fuck,0.002228956,222.8955971,223
org,0.002204828,220.4828209,221
nb'keep,0.002203971,220.3971277,221
#gogreen,0.0022028,220.2799649,221
user-shar,0.002156664,215.6663571,216
#saveourplanet,0.00214949,214.9489898,215
knew,0.002136129,213.6129237,214
urgenc,0.002131119,213.1119049,214
home,0.002079602,207.9601683,208
consum,0.002065615,206.5614908,207
#humanistreport,0.002050148,205.0148493,206
warnin,0.002035182,203.518153,204
collegedem,0.002035135,203.5135429,204
money,0.00202041,202.0410058,203
planet,0.001979255,197.9255165,198
see,0.001959191,195.9190679,196
ppl,0.001949395,194.9394597,195
i-am-an-energy-voter_b,0.001944453,194.4452593,195
still,0.001939038,193.9038109,194
gbss,0.001932181,193.2181055,194
#votebluep,0.001927192,192.7191658,193
brink,0.00192668,192.6679615,193
huffingtonpost,0.001915865,191.5865094,192
usa,0.001869442,186.944191,187
hkipl-ksu,0.001864984,186.4984133,187
montana,0.001864434,186.4434201,187
#cleanair,0.001860288,186.0288244,187
#algor,0.001845006,184.5005691,185
whitehous,0.001844105,184.4104873,185
enough,0.001841675,184.1675275,185
#pari,0.001839134,183.9133624,184
read,0.001835045,183.5044569,184
china,0.001816806,181.6806334,182
dump,0.001816199,181.6198682,182
side,0.001798517,179.8517197,180
#trumpenmexico,0.001793398,179.3398349,180
ian,0.001790935,179.0934652,180
greenpeac,0.001766914,176.691434,177
ieuc,0.001763405,176.340468,177
cann,0.001748833,174.8833212,175
step,0.001746932,174.6932218,175
garbag,0.00173746,173.7459752,174
#arizona,0.001734035,173.4035113,174
nb'glacier,0.001699281,169.9281308,170
one,0.00169748,169.7479553,170
#motherearthp,0.001686297,168.6297387,169
state-and-region,0.001677683,167.7683032,168
#itsinourhand,0.001669675,166.9674557,167
minerjp,0.001657032,165.7032133,166
park,0.001652037,165.2036695,166
narctic,0.001636176,163.617624,164
post,0.001633092,163.3092423,164
talk,0.001632729,163.2729277,164
worri,0.001626603,162.6603437,163
#unknown,0.001620615,162.0614896,163
panel,0.001619793,161.9792894,162
bem,0.001613094,161.3094305,162
yellowstone-grapples-with-unknowns-of-climate-chang,0.001612339,161.2339378,162
video,0.001610992,161.0991693,162
scienc,0.001609993,160.99931,161
#what,0.001601543,160.1542528,161
modifion,0.00159853,159.8529659,160
duue,0.001591927,159.1926898,160
deal,0.00158322,158.3219905,159
refuge,0.001579823,157.9823272,158
nb'don,0.0015757,157.5700198,158
#panel,0.001572599,157.2598641,158
#fossilfuel,0.001564559,156.4559413,157
sagfooa,0.001563771,156.3771188,157
gore,0.001561431,156.1430793,157
#trumppic,0.001560382,156.0382231,157
world-asia-china,0.001557121,155.7120525,156
#rebeccalaroch,0.001541167,154.1166689,155
pre,0.001531717,153.1717276,154
fast,0.001530928,153.0928448,154
word,0.001509853,150.9853246,151
say,0.001502828,150.2828427,151
save,0.001501903,150.1902744,151
frack,0.001496882,149.6881761,150
deni,0.001495209,149.5209172,150
johnpodesta,0.001493719,149.371898,150
parler,0.001493672,149.3671954,150
nrespons,0.001492909,149.290851,150
eve,0.001492283,149.2283184,150
#xijinp,0.001489886,148.9886269,149
nytim,0.001475318,147.5318279,148
choic,0.001473449,147.3449479,148
corrupt,0.001464967,146.496698,147
think,0.001451749,145.1748687,146
greenpartyu,0.001444351,144.4350552,145
#newyorktim,0.001435213,143.5213142,144
nthe,0.001406545,140.6545044,141
#bigoil,0.001400908,140.090797,141
jpwxchgm,0.001392285,139.2285329,140
wrekingballdud,0.001380745,138.0744823,139
rememb,0.001378157,137.8157058,138
nhalf,0.00137347,137.3469538,138
#cnnpic,0.001367923,136.7923118,137
climat,0.001363555,136.3555151,137
actual,0.001363165,136.3165234,137
guvfnn,0.001356398,135.6397784,136
lot,0.001313617,131.3617447,132
email,0.001312772,131.2771609,132
#yellowston,0.001311763,131.1763016,132
tackl,0.001302351,130.235138,131
proud,0.001301336,130.1335852,131
eye,0.001301222,130.1221642,131
#wisdom,0.001299529,129.9528681,130
#ifmenhadperiod,0.001285044,128.5043779,129
support,0.001284242,128.4241819,129
must,0.001284222,128.4222282,129
everi,0.00128334,128.3339546,129
#pb,0.001276782,127.6781975,128
pa,0.001271928,127.1928141,128
